From	Entry	Entry Name	Protein names	Gene Names
A2M	P01023	A2MG_HUMAN	Alpha-2-macroglobulin (Alpha-2-M) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5)	A2M CPAMD5 FWP007
AAAS	Q9NRG9	AAAS_HUMAN	Aladin (Adracalin)	AAAS ADRACALA GL003
AACS	Q86V21	AACS_HUMAN	Acetoacetyl-CoA synthetase (EC 6.2.1.16) (Acyl-CoA synthetase family member 1) (Protein sur-5 homolog)	AACS ACSF1
AAGAB	Q6PD74	AAGAB_HUMAN	Alpha- and gamma-adaptin-binding protein p34	AAGAB
AAK1	Q2M2I8	AAK1_HUMAN	AP2-associated protein kinase 1 (EC 2.7.11.1) (Adaptor-associated kinase 1)	AAK1 KIAA1048
AAMDC	Q9H7C9	AAMDC_HUMAN	Mth938 domain-containing protein (Adipogenesis associated Mth938 domain-containing protein)	AAMDC C11orf67 PTD015
AAMP	Q13685	AAMP_HUMAN	Angio-associated migratory cell protein	AAMP
AAR2	Q9Y312	AAR2_HUMAN	Protein AAR2 homolog (AAR2 splicing factor homolog)	AAR2 C20orf4 CGI-23 PRO0225
AARS	P49588	SYAC_HUMAN	Alanine--tRNA ligase, cytoplasmic (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Renal carcinoma antigen NY-REN-42)	AARS1 AARS
AARS2	Q5JTZ9	SYAM_HUMAN	Alanine--tRNA ligase, mitochondrial (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)	AARS2 AARSL KIAA1270
AARSD1	Q9BTE6	AASD1_HUMAN	Alanyl-tRNA editing protein Aarsd1 (Alanyl-tRNA synthetase domain-containing protein 1)	AARSD1
AASDHPPT	Q9NRN7	ADPPT_HUMAN	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase (EC 2.7.8.7) (4'-phosphopantetheinyl transferase) (Alpha-aminoadipic semialdehyde dehydrogenase-phosphopantetheinyl transferase) (AASD-PPT) (LYS5 ortholog)	AASDHPPT CGI-80 HAH-P HSPC223 x0005
AATF	Q9NY61	AATF_HUMAN	Protein AATF (Apoptosis-antagonizing transcription factor) (Rb-binding protein Che-1)	AATF CHE1 DED HSPC277
ABCA2	Q9BZC7	ABCA2_HUMAN	ATP-binding cassette sub-family A member 2 (EC 7.6.2.-) (ATP-binding cassette transporter 2) (ATP-binding cassette 2)	ABCA2 ABC2 KIAA1062
ABCA3	Q99758	ABCA3_HUMAN	Phospholipid-transporting ATPase ABCA3 (EC 7.6.2.1) (ABC-C transporter) (ATP-binding cassette sub-family A member 3) (ATP-binding cassette transporter 3) (ATP-binding cassette 3) (Xenobiotic-transporting ATPase ABCA3) (EC 7.6.2.2) [Cleaved into: 150 Kda mature form]	ABCA3 ABC3
ABCA5	Q8WWZ7	ABCA5_HUMAN	Cholesterol transporter ABCA5 (EC 7.6.2.-) (ATP-binding cassette sub-family A member 5)	ABCA5 KIAA1888
ABCB10	Q9NRK6	ABCBA_HUMAN	ATP-binding cassette sub-family B member 10, mitochondrial (ABC-mitochondrial erythroid protein) (ABC-me protein) (ATP-binding cassette transporter 10) (ABC transporter 10 protein) (Mitochondrial ATP-binding cassette 2) (M-ABC2)	ABCB10
ABCB6	Q9NP58	ABCB6_HUMAN	ATP-binding cassette sub-family B member 6 (ABC-type heme transporter ABCB6) (EC 7.6.2.5) (Mitochondrial ABC transporter 3) (Mt-ABC transporter 3) (P-glycoprotein-related protein) (Ubiquitously-expressed mammalian ABC half transporter)	ABCB6 MTABC3 PRP UMAT
ABCB7	O75027	ABCB7_HUMAN	Iron-sulfur clusters transporter ABCB7, mitochondrial (ATP-binding cassette sub-family B member 7, mitochondrial) (ATP-binding cassette transporter 7) (ABC transporter 7 protein)	ABCB7 ABC7
ABCB8	Q9NUT2	MITOS_HUMAN	Mitochondrial potassium channel ATP-binding subunit (ATP-binding cassette sub-family B member 8, mitochondrial) (ABCB8) (Mitochondrial ATP-binding cassette 1) (M-ABC1) (Mitochondrial sulfonylurea-receptor) (MITOSUR)	ABCB8 MABC1 MITOSUR
ABCC1	P33527	MRP1_HUMAN	Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter)	ABCC1 MRP MRP1
ABCC4	O15439	MRP4_HUMAN	ATP-binding cassette sub-family C member 4 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (MRP/cMOAT-related ABC transporter) (Multi-specific organic anion transporter B) (MOAT-B) (Multidrug resistance-associated protein 4)	ABCC4 MOATB MRP4
ABCD1	P33897	ABCD1_HUMAN	ATP-binding cassette sub-family D member 1 (EC 3.1.2.-) (EC 7.6.2.-) (Adrenoleukodystrophy protein) (ALDP)	ABCD1 ALD
